namespace,accession
coco,COCOM00001
coco,COCOM00002
coco,COCOM00003
coco,COCOM00004
coco,COCOM00005
coco,COCOM00006
coco,COCOM00007
coco,COCOM00008
coco,COCOM00009
coco,COCOM00010
coco,COCOM00011
coco,COCOM00012
coco,COCOM00013
mnx,MNXM1
mnx,MNXM10
mnx,MNXM1017
mnx,MNXM105630
mnx,MNXM107
mnx,MNXM108
mnx,MNXM10881
mnx,MNXM10926
mnx,MNXM11
mnx,MNXM111
mnx,MNXM11523
mnx,MNXM116
mnx,MNXM117
mnx,MNXM1184
mnx,MNXM119
mnx,MNXM1191
mnx,MNXM1198
mnx,MNXM1239
mnx,MNXM12535
mnx,MNXM126
mnx,MNXM12859
mnx,MNXM13
mnx,MNXM131
mnx,MNXM1380
mnx,MNXM13819
mnx,MNXM13820
mnx,MNXM13821
mnx,MNXM13824
mnx,MNXM13841
mnx,MNXM14
mnx,MNXM140
mnx,MNXM14140
mnx,MNXM142
mnx,MNXM14207
mnx,MNXM1421
mnx,MNXM14271
mnx,MNXM1428
mnx,MNXM14472
mnx,MNXM145
mnx,MNXM1459
mnx,MNXM147
mnx,MNXM1470
mnx,MNXM148
mnx,MNXM149903
mnx,MNXM15
mnx,MNXM154
mnx,MNXM155029
mnx,MNXM157
mnx,MNXM15883
mnx,MNXM159207
mnx,MNXM160
mnx,MNXM160811
mnx,MNXM165
mnx,MNXM165425
mnx,MNXM165476
mnx,MNXM165478
mnx,MNXM166
mnx,MNXM167
mnx,MNXM168
mnx,MNXM169
mnx,MNXM1735
mnx,MNXM176
mnx,MNXM178
mnx,MNXM179
mnx,MNXM182
mnx,MNXM189
mnx,MNXM1932
mnx,MNXM195
mnx,MNXM196
mnx,MNXM198
mnx,MNXM199
mnx,MNXM2
mnx,MNXM20
mnx,MNXM2007
mnx,MNXM202
mnx,MNXM207
mnx,MNXM208
mnx,MNXM212
mnx,MNXM213
mnx,MNXM2179
mnx,MNXM22
mnx,MNXM222
mnx,MNXM228
mnx,MNXM23
mnx,MNXM231
mnx,MNXM2356
mnx,MNXM242
mnx,MNXM243
mnx,MNXM25
mnx,MNXM254
mnx,MNXM255
mnx,MNXM26
mnx,MNXM261
mnx,MNXM275
mnx,MNXM280
mnx,MNXM287
mnx,MNXM29
mnx,MNXM291
mnx,MNXM295
mnx,MNXM3
mnx,MNXM3005
mnx,MNXM303
mnx,MNXM3085
mnx,MNXM3102
mnx,MNXM3103
mnx,MNXM3133
mnx,MNXM31999
mnx,MNXM32
mnx,MNXM32005
mnx,MNXM32006
mnx,MNXM32049
mnx,MNXM32136
mnx,MNXM32237
mnx,MNXM3230
mnx,MNXM3235
mnx,MNXM3262
mnx,MNXM33
mnx,MNXM334
mnx,MNXM336
mnx,MNXM339
mnx,MNXM341
mnx,MNXM3458
mnx,MNXM34598
mnx,MNXM352
mnx,MNXM362
mnx,MNXM3633
mnx,MNXM37
mnx,MNXM372
mnx,MNXM37357
mnx,MNXM37572
mnx,MNXM377
mnx,MNXM379
mnx,MNXM38
mnx,MNXM39
mnx,MNXM390
mnx,MNXM39260
mnx,MNXM393
mnx,MNXM398
mnx,MNXM4
mnx,MNXM400
mnx,MNXM4002
mnx,MNXM404
mnx,MNXM40579
mnx,MNXM41
mnx,MNXM41271
mnx,MNXM417
mnx,MNXM42
mnx,MNXM4214
mnx,MNXM4219
mnx,MNXM425
mnx,MNXM429
mnx,MNXM4328
mnx,MNXM435
mnx,MNXM437
mnx,MNXM4374
mnx,MNXM441
mnx,MNXM442
mnx,MNXM444
mnx,MNXM44968
mnx,MNXM4523
mnx,MNXM458
mnx,MNXM46
mnx,MNXM460
mnx,MNXM469
mnx,MNXM4835
mnx,MNXM5
mnx,MNXM504217
mnx,MNXM5083
mnx,MNXM5084
mnx,MNXM510
mnx,MNXM520
mnx,MNXM53
mnx,MNXM5399
mnx,MNXM541
mnx,MNXM544
mnx,MNXM5462
mnx,MNXM55
mnx,MNXM56
mnx,MNXM56307
mnx,MNXM56309
mnx,MNXM579
mnx,MNXM58
mnx,MNXM58018
mnx,MNXM59041
mnx,MNXM597
mnx,MNXM6
mnx,MNXM60
mnx,MNXM6107
mnx,MNXM615
mnx,MNXM6396
mnx,MNXM653
mnx,MNXM66
mnx,MNXM6797
mnx,MNXM69
mnx,MNXM7
mnx,MNXM714
mnx,MNXM722772
mnx,MNXM724
mnx,MNXM73
mnx,MNXM73137
mnx,MNXM73139
mnx,MNXM73202
mnx,MNXM74
mnx,MNXM745
mnx,MNXM75
mnx,MNXM76
mnx,MNXM762
mnx,MNXM77
mnx,MNXM78182
mnx,MNXM796
mnx,MNXM8
mnx,MNXM813
mnx,MNXM836
mnx,MNXM8595
mnx,MNXM872
mnx,MNXM89
mnx,MNXM894
mnx,MNXM89557
mnx,MNXM89582
mnx,MNXM89588
mnx,MNXM89612
mnx,MNXM89661
mnx,MNXM9
mnx,MNXM90068
mnx,MNXM90126
mnx,MNXM90941
mnx,MNXM91
mnx,MNXM927
mnx,MNXM93
mnx,MNXM94
mnx,MNXM95120
mnx,MNXM9519
mnx,MNXM9520
mnx,MNXM9521
mnx,MNXM96993
mnx,MNXM97
mnx,MNXM9763
mnx,MNXM977
mnx,MNXM98
mnx,MNXM162234
